
--------------- Linear optimization problem characteristics ---------------
Seed:                    84
Number of variables:     50
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        2.15e-01
Norm of vector c:        2.59e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.016 -0.141 +0.161 +0.144 +0.035 -0.046 +0.203 +0.006 +0.003 -0.142
 -0.111 +0.063 +0.175 -0.103 +0.079 +0.043 +0.001 -0.026 -0.074 -0.021
 -0.090 -0.036 -0.124 -0.125 -0.200 +0.125 +0.038 +0.042 -0.147 +0.052
 -0.111 +0.157 -0.035 +0.225 -0.207 -0.124 +0.248 -0.013 +0.179 -0.099
 +0.193 +0.143 +0.133 +0.159 +0.243 +0.178 +0.028 -0.076 +0.141 -0.072]
                          [+0.054 +0.001 +0.015 +0.022 +0.098 +0.115 -0.153 -0.030 -0.013 -0.011
 +0.137 -0.012 -0.050 +0.133 +0.118 +0.001 +0.089 -0.072 +0.040 -0.028
 +0.098 -0.129 -0.028 -0.121 +0.113 -0.003 -0.031 +0.037 +0.172 -0.019
 +0.037 -0.179 -0.070 -0.137 +0.064 +0.041 -0.207 +0.064 +0.024 -0.068
 -0.117 +0.023 -0.049 -0.051 -0.164 -0.171 +0.017 +0.154 +0.047 +0.161]]

RHS vector b:            [+0.173 +0.127]
Obj vector c:            [+0.061 +0.273 -0.302 -0.264 -0.014 +0.152 -0.475 -0.028 -0.013 +0.266
 +0.289 +0.888 -0.364 +0.272 -0.087 -0.082 +0.047 +0.011 +0.164 +0.026
 +0.228 -0.001 +0.223 +0.176 +0.446 +1.480 -0.090 -0.061 +0.376 -0.111
 +0.234 -0.399 +0.029 -0.508 +0.434 +0.260 -0.589 +0.060 -0.332 +0.153
 -0.435 -0.263 -0.283 -0.334 -0.557 -0.435 -0.045 +0.230 -0.245 +0.226]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.025 +0.205 +0.134 +0.348 +0.548 +0.072 +0.096 +0.143 +0.232 +0.073
 +0.161 +0.000 +0.535 +0.165 +0.361 +0.297 +0.491 +0.479 +0.521 +0.059
 +0.340 +0.099 +0.041 +0.551 +0.197 +0.000 +0.353 +0.116 +0.542 +0.077
 +0.306 +0.148 +0.173 +0.183 +0.081 +0.454 +0.089 +0.276 +0.183 +0.108
 +0.081 +0.380 +0.551 +0.158 +0.314 +0.067 +0.024 +0.087 +0.240 +0.209]
Dual slacks:              [+0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
 +0.000 +1.016 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
 +0.000 +0.000 +0.000 +0.000 +0.000 +1.723 +0.000 +0.000 +0.000 +0.000
 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000]
Dual variables:           [-1.924 +0.546]

Optimal objective:       -2.63532448e-01
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   1.50792996e+01 -3.14521787e+00  4.21e+00 2.86e+01  2.16e+03 *1.55e-15  4.00e+00 1.00e+00 1.30e+01  7.14e-01 5.95e-01      0s
  22   3.80825994e+01 -3.94470435e-01  1.30e+01 1.03e+00  1.01e+02  8.54e+01  3.27e+00 1.39e+02 8.54e+01  2.38e-01 7.28e-03      5s
  23   3.90268563e+01 -3.94470435e-01  1.35e+01 1.02e+00  1.01e+02  8.84e+01  3.29e+00 1.43e+02 8.84e+01  2.32e-01 6.89e-03      5s
  24   3.99554815e+01 -3.94470435e-01  1.40e+01 1.02e+00  1.00e+02  9.14e+01  3.31e+00 1.48e+02 9.14e+01  2.27e-01 6.54e-03      5s
  25   4.08692826e+01 -3.94470435e-01  1.45e+01 1.01e+00  9.96e+01  9.44e+01  3.33e+00 1.52e+02 9.44e+01  2.22e-01 6.22e-03      5s
  26   4.17681668e+01 -3.94470435e-01  1.50e+01 1.00e+00  9.91e+01  9.75e+01  3.35e+00 1.57e+02 9.75e+01  2.17e-01 5.91e-03      5s
  27   4.26529555e+01 -3.94470435e-01  1.55e+01 9.99e-01  9.86e+01  1.01e+02  3.37e+00 1.61e+02 1.01e+02  2.12e-01 5.63e-03      6s
  28   4.35253360e+01 -3.94470435e-01  1.60e+01 9.94e-01  9.81e+01  1.04e+02  3.40e+00 1.66e+02 1.04e+02  2.08e-01 5.38e-03      6s
  29   4.43843796e+01 -3.94470435e-01  1.65e+01 9.89e-01  9.76e+01  1.07e+02  3.42e+00 1.71e+02 1.07e+02  2.04e-01 5.13e-03      6s
  30   4.52309005e+01 -3.94470435e-01  1.69e+01 9.84e-01  9.72e+01  1.10e+02  3.44e+00 1.76e+02 1.10e+02  2.00e-01 4.90e-03      6s
  31   4.60657016e+01 -3.94470435e-01  1.74e+01 9.79e-01  9.68e+01  1.13e+02  3.46e+00 1.81e+02 1.13e+02  1.96e-01 4.69e-03      7s
  32   4.68887508e+01 -3.94470435e-01  1.78e+01 9.75e-01  9.64e+01  1.16e+02  3.49e+00 1.86e+02 1.16e+02  1.92e-01 4.49e-03      7s
  33   4.77008422e+01 -3.94470435e-01  1.82e+01 9.70e-01  9.60e+01  1.19e+02  3.51e+00 1.90e+02 1.19e+02  1.88e-01 4.31e-03      7s
  34   4.85027567e+01 -3.94470435e-01  1.87e+01 9.66e-01  9.57e+01  1.22e+02  3.54e+00 1.95e+02 1.22e+02  1.85e-01 4.14e-03      7s
  35   4.92936791e+01 -3.94470435e-01  1.91e+01 9.63e-01  9.53e+01  1.26e+02  3.56e+00 2.01e+02 1.26e+02  1.81e-01 3.97e-03      7s
  36   5.00751718e+01 -3.94470435e-01  1.95e+01 9.59e-01  9.50e+01  1.29e+02  3.59e+00 2.06e+02 1.29e+02  1.78e-01 3.81e-03      8s
  37   5.08464451e+01 -3.94470435e-01  1.99e+01 9.55e-01  9.47e+01  1.32e+02  3.61e+00 2.11e+02 1.32e+02  1.75e-01 3.67e-03      8s
  38   5.16090265e+01 -3.94470435e-01  2.03e+01 9.52e-01  9.44e+01  1.35e+02  3.64e+00 2.16e+02 1.35e+02  1.72e-01 3.53e-03      8s
  39   5.23629019e+01 -3.94470435e-01  2.07e+01 9.49e-01  9.41e+01  1.38e+02  3.67e+00 2.21e+02 1.38e+02  1.69e-01 3.40e-03      8s
  40   5.31073179e+01 -3.94470435e-01  2.11e+01 9.46e-01  9.38e+01  1.42e+02  3.69e+00 2.27e+02 1.42e+02  1.66e-01 3.27e-03      8s
  41   5.38437568e+01 -3.94470435e-01  2.15e+01 9.43e-01  9.35e+01  1.45e+02  3.72e+00 2.32e+02 1.45e+02  1.63e-01 3.16e-03      9s
  42   5.45722109e+01 -3.94470435e-01  2.19e+01 9.40e-01  9.33e+01  1.48e+02  3.75e+00 2.37e+02 1.48e+02  1.61e-01 3.05e-03      9s
