
--------------- Linear optimization problem characteristics ---------------
Seed:                    11
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        2.84e-02
Norm of vector c:        2.46e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.002 +0.004 -0.001 ... -0.002 -0.008 -0.004]
                          [+0.012 +0.008 +0.004 ... +0.001 +0.007 +0.010]]

RHS vector b:            [+0.004 -0.028]
Obj vector c:            [-0.021 -0.019 -0.005 ... +0.002 -0.001 -0.011]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.006 +0.001 +0.016 ... +0.026 +0.025 +0.003]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [-1.250 -1.561]

Optimal objective:       +3.84530473e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
  28  -3.31311630e+02  0.00000000e+00  2.07e+02 3.73e+00  4.34e+03  9.69e+02  3.90e+00 4.95e+02 9.69e+02  1.98e-01 4.76e-03   1400s
  29  -3.37473112e+02  0.00000000e+00  2.11e+02 3.71e+00  4.32e+03  9.86e+02  3.90e+00 5.02e+02 9.86e+02  1.94e-01 4.56e-03   1438s
  30  -3.43486312e+02  0.00000000e+00  2.14e+02 3.69e+00  4.31e+03  1.00e+03  3.91e+00 5.10e+02 1.00e+03  1.90e-01 4.37e-03   1476s
  31  -3.49354359e+02  0.00000000e+00  2.17e+02 3.68e+00  4.29e+03  1.02e+03  3.91e+00 5.17e+02 1.02e+03  1.87e-01 4.19e-03   1510s
  32  -3.55086100e+02  0.00000000e+00  2.21e+02 3.66e+00  4.27e+03  1.04e+03  3.91e+00 5.24e+02 1.04e+03  1.83e-01 4.03e-03   1551s
  33  -3.60689955e+02  0.00000000e+00  2.24e+02 3.65e+00  4.26e+03  1.05e+03  3.92e+00 5.31e+02 1.05e+03  1.80e-01 3.87e-03   1594s
  34  -3.66162984e+02  0.00000000e+00  2.27e+02 3.64e+00  4.24e+03  1.07e+03  3.92e+00 5.38e+02 1.07e+03  1.77e-01 3.72e-03   1638s
  35  -3.71513320e+02  0.00000000e+00  2.30e+02 3.62e+00  4.23e+03  1.09e+03  3.93e+00 5.45e+02 1.09e+03  1.74e-01 3.58e-03   1677s
  36  -3.76748708e+02  0.00000000e+00  2.33e+02 3.61e+00  4.22e+03  1.10e+03  3.93e+00 5.52e+02 1.10e+03  1.71e-01 3.45e-03   1720s
  37  -3.81866272e+02  0.00000000e+00  2.36e+02 3.60e+00  4.20e+03  1.12e+03  3.94e+00 5.58e+02 1.12e+03  1.68e-01 3.32e-03   1762s
  38  -3.86878498e+02  0.00000000e+00  2.39e+02 3.59e+00  4.19e+03  1.13e+03  3.94e+00 5.65e+02 1.13e+03  1.65e-01 3.21e-03   1806s
  39  -3.91787379e+02  0.00000000e+00  2.42e+02 3.58e+00  4.18e+03  1.15e+03  3.95e+00 5.72e+02 1.15e+03  1.63e-01 3.09e-03   1848s
  40  -3.96599701e+02  0.00000000e+00  2.45e+02 3.57e+00  4.17e+03  1.16e+03  3.95e+00 5.78e+02 1.16e+03  1.60e-01 2.99e-03   1890s
  41  -4.01307792e+02  0.00000000e+00  2.47e+02 3.56e+00  4.16e+03  1.18e+03  3.96e+00 5.85e+02 1.18e+03  1.58e-01 2.88e-03   1932s
  42  -4.05927649e+02  0.00000000e+00  2.50e+02 3.55e+00  4.15e+03  1.19e+03  3.96e+00 5.91e+02 1.19e+03  1.55e-01 2.79e-03   1974s
  43  -4.10451749e+02  0.00000000e+00  2.52e+02 3.54e+00  4.14e+03  1.21e+03  3.97e+00 5.98e+02 1.21e+03  1.53e-01 2.70e-03   2030s
  44  -4.14890867e+02  0.00000000e+00  2.55e+02 3.53e+00  4.13e+03  1.22e+03  3.97e+00 6.04e+02 1.22e+03  1.50e-01 2.61e-03   2113s
  45  -4.19246516e+02  0.00000000e+00  2.57e+02 3.52e+00  4.12e+03  1.24e+03  3.98e+00 6.10e+02 1.24e+03  1.48e-01 2.53e-03   2193s
  46  -4.23520193e+02  0.00000000e+00  2.60e+02 3.51e+00  4.11e+03  1.25e+03  3.98e+00 6.17e+02 1.25e+03  1.46e-01 2.45e-03   2262s
  47  -4.27717577e+02  0.00000000e+00  2.62e+02 3.50e+00  4.10e+03  1.27e+03  3.99e+00 6.23e+02 1.27e+03  1.44e-01 2.38e-03   2307s
  48  -4.31831732e+02  0.00000000e+00  2.65e+02 3.49e+00  4.09e+03  1.28e+03  3.99e+00 6.29e+02 1.28e+03  1.42e-01 2.30e-03   2348s
  49  -4.35876400e+02  0.00000000e+00  2.67e+02 3.48e+00  4.08e+03  1.29e+03  4.00e+00 6.35e+02 1.29e+03  1.40e-01 2.24e-03   2391s
  50  -4.05383982e+02  3.61842697e-03  2.48e+02 3.24e+00  3.83e+03 *3.68e-01  4.01e+00 6.41e+02 1.31e+03  5.88e-01 6.99e-02   2433s
  51  -4.10225439e+02  3.61842697e-03  2.51e+02 3.23e+00  3.82e+03  1.19e+03  3.95e+00 6.49e+02 1.19e+03  1.58e-01 2.94e-03   2495s
  52  -4.14886576e+02  3.61842697e-03  2.54e+02 3.22e+00  3.81e+03  1.20e+03  3.95e+00 6.56e+02 1.20e+03  1.55e-01 2.79e-03   2548s
  53  -4.19460284e+02  3.61842697e-03  2.56e+02 3.21e+00  3.80e+03  1.22e+03  3.96e+00 6.63e+02 1.22e+03  1.53e-01 2.71e-03   2591s
  54  -4.23943610e+02  3.61842697e-03  2.59e+02 3.21e+00  3.79e+03  1.23e+03  3.96e+00 6.70e+02 1.23e+03  1.51e-01 2.62e-03   2634s
  55  -4.28342660e+02  3.61842697e-03  2.61e+02 3.20e+00  3.78e+03  1.25e+03  3.97e+00 6.77e+02 1.25e+03  1.48e-01 2.54e-03   2673s
  56  -4.32658942e+02  3.61842697e-03  2.64e+02 3.19e+00  3.77e+03  1.26e+03  3.97e+00 6.84e+02 1.26e+03  1.46e-01 2.46e-03   2715s
  57  -4.36893949e+02  3.61842697e-03  2.66e+02 3.18e+00  3.76e+03  1.28e+03  3.98e+00 6.91e+02 1.28e+03  1.44e-01 2.38e-03   2754s
  58  -4.41049161e+02  3.61842697e-03  2.69e+02 3.17e+00  3.75e+03  1.29e+03  3.99e+00 6.98e+02 1.29e+03  1.42e-01 2.31e-03   2795s
  59  -4.45134205e+02  3.61842697e-03  2.71e+02 3.17e+00  3.75e+03  1.31e+03  3.99e+00 7.05e+02 1.31e+03  1.40e-01 2.24e-03   2831s
  60  -4.49146201e+02  3.61842697e-03  2.73e+02 3.16e+00  3.74e+03  1.32e+03  4.00e+00 7.11e+02 1.32e+03  1.38e-01 2.17e-03   2895s
  61  -4.19677849e+02  6.69489331e-03  2.55e+02 2.95e+00  3.52e+03 *2.86e-01  4.00e+00 7.18e+02 1.33e+03  5.76e-01 6.56e-02   2967s
  62  -4.24375944e+02  6.69489331e-03  2.58e+02 2.95e+00  3.51e+03  1.22e+03  3.95e+00 7.25e+02 1.22e+03  1.55e-01 2.79e-03   3048s
  63  -4.28967470e+02  6.69489331e-03  2.61e+02 2.94e+00  3.50e+03  1.23e+03  3.95e+00 7.33e+02 1.23e+03  1.52e-01 2.69e-03   3093s
  64  -4.33472771e+02  6.69489331e-03  2.63e+02 2.93e+00  3.49e+03  1.25e+03  3.96e+00 7.41e+02 1.25e+03  1.50e-01 2.60e-03   3136s
  65  -4.37888955e+02  6.69489331e-03  2.66e+02 2.92e+00  3.48e+03  1.26e+03  3.96e+00 7.48e+02 1.26e+03  1.48e-01 2.52e-03   3178s
  66  -4.42222054e+02  6.69489331e-03  2.68e+02 2.92e+00  3.48e+03  1.28e+03  3.97e+00 7.56e+02 1.28e+03  1.46e-01 2.44e-03   3221s
  67  -4.46477822e+02  6.69489331e-03  2.70e+02 2.91e+00  3.47e+03  1.29e+03  3.98e+00 7.63e+02 1.29e+03  1.44e-01 2.37e-03   3264s
  68  -4.50653399e+02  6.69489331e-03  2.73e+02 2.90e+00  3.46e+03  1.31e+03  3.98e+00 7.71e+02 1.31e+03  1.42e-01 2.29e-03   3307s
  69  -4.54754356e+02  6.69489331e-03  2.75e+02 2.90e+00  3.45e+03  1.32e+03  3.99e+00 7.78e+02 1.32e+03  1.40e-01 2.22e-03   3350s
  70  -4.58786018e+02  6.69489331e-03  2.77e+02 2.89e+00  3.45e+03  1.33e+03  3.99e+00 7.86e+02 1.33e+03  1.38e-01 2.16e-03   3393s
  71  -4.62745550e+02  6.69489331e-03  2.80e+02 2.88e+00  3.44e+03  1.35e+03  4.00e+00 7.93e+02 1.35e+03  1.36e-01 2.10e-03   3435s
  72  -4.34369092e+02  9.31840739e-03  2.63e+02 2.71e+00  3.25e+03 *3.60e-01  4.01e+00 8.00e+02 1.36e+03  5.63e-01 6.13e-02   3469s
  73  -4.38992161e+02  9.31840739e-03  2.65e+02 2.70e+00  3.24e+03  1.25e+03  3.95e+00 8.07e+02 1.25e+03  1.51e-01 2.67e-03   3507s
  74  -4.43487647e+02  9.31840739e-03  2.68e+02 2.69e+00  3.24e+03  1.26e+03  3.95e+00 8.15e+02 1.26e+03  1.49e-01 2.56e-03   3548s
  75  -4.47898605e+02  9.31840739e-03  2.70e+02 2.69e+00  3.23e+03  1.28e+03  3.96e+00 8.23e+02 1.28e+03  1.47e-01 2.48e-03   3584s
  76  -4.52230887e+02  9.31840739e-03  2.73e+02 2.68e+00  3.22e+03  1.29e+03  3.97e+00 8.32e+02 1.29e+03  1.45e-01 2.41e-03   3623s
  77  -4.56481571e+02  9.31840739e-03  2.75e+02 2.67e+00  3.21e+03  1.31e+03  3.97e+00 8.40e+02 1.31e+03  1.43e-01 2.33e-03   3665s
  78  -4.60652147e+02  9.31840739e-03  2.78e+02 2.67e+00  3.21e+03  1.32e+03  3.98e+00 8.48e+02 1.32e+03  1.41e-01 2.26e-03   3709s
  79  -4.64752282e+02  9.31840739e-03  2.80e+02 2.66e+00  3.20e+03  1.34e+03  3.98e+00 8.56e+02 1.34e+03  1.39e-01 2.19e-03   3752s
  80  -4.68779088e+02  9.31840739e-03  2.82e+02 2.65e+00  3.20e+03  1.35e+03  3.99e+00 8.64e+02 1.35e+03  1.37e-01 2.13e-03   3795s
  81  -4.72737806e+02  9.31840739e-03  2.84e+02 2.65e+00  3.19e+03  1.37e+03  4.00e+00 8.72e+02 1.37e+03  1.35e-01 2.07e-03   3838s
  82  -4.44895189e+02  1.16307322e-02  2.68e+02 2.49e+00  3.02e+03 *1.56e-01  4.00e+00 8.80e+02 1.38e+03  5.56e-01 5.89e-02   3880s
  83  -4.49496316e+02  1.16307322e-02  2.70e+02 2.49e+00  3.01e+03  1.27e+03  3.95e+00 8.86e+02 1.27e+03  1.50e-01 2.61e-03   3923s
  84  -4.53974897e+02  1.16307322e-02  2.73e+02 2.48e+00  3.01e+03  1.28e+03  3.95e+00 8.95e+02 1.28e+03  1.48e-01 2.51e-03   3965s
  85  -4.58364826e+02  1.16307322e-02  2.75e+02 2.47e+00  3.00e+03  1.30e+03  3.96e+00 9.05e+02 1.30e+03  1.45e-01 2.43e-03   4014s
  86  -4.62676420e+02  1.16307322e-02  2.78e+02 2.47e+00  2.99e+03  1.31e+03  3.96e+00 9.14e+02 1.31e+03  1.43e-01 2.36e-03   4098s
  87  -4.66906780e+02  1.16307322e-02  2.80e+02 2.46e+00  2.99e+03  1.33e+03  3.97e+00 9.22e+02 1.33e+03  1.41e-01 2.28e-03   4183s
  88  -4.71061547e+02  1.16307322e-02  2.82e+02 2.46e+00  2.98e+03  1.34e+03  3.98e+00 9.31e+02 1.34e+03  1.39e-01 2.22e-03   4274s
  89  -4.75146115e+02  1.16307322e-02  2.85e+02 2.45e+00  2.97e+03  1.36e+03  3.98e+00 9.40e+02 1.36e+03  1.37e-01 2.15e-03   4351s
  90  -4.79157612e+02  1.16307322e-02  2.87e+02 2.45e+00  2.97e+03  1.37e+03  3.99e+00 9.49e+02 1.37e+03  1.36e-01 2.09e-03   4425s
  91  -4.83101263e+02  1.16307322e-02  2.89e+02 2.44e+00  2.96e+03  1.39e+03  3.99e+00 9.58e+02 1.39e+03  1.34e-01 2.03e-03   4502s
  92  -4.55860403e+02  1.36696791e-02  2.73e+02 2.30e+00  2.81e+03 *6.19e-02  4.00e+00 9.66e+02 1.40e+03  5.48e-01 5.64e-02   4556s
  93  -4.60478202e+02  1.36696791e-02  2.76e+02 2.30e+00  2.81e+03  1.29e+03  3.95e+00 9.72e+02 1.29e+03  1.48e-01 2.58e-03   4598s
  94  -4.64914756e+02  1.36696791e-02  2.78e+02 2.29e+00  2.80e+03  1.31e+03  3.95e+00 9.82e+02 1.31e+03  1.46e-01 2.44e-03   4635s
  95  -4.69272158e+02  1.36696791e-02  2.81e+02 2.29e+00  2.79e+03  1.32e+03  3.96e+00 9.92e+02 1.32e+03  1.44e-01 2.37e-03   4677s
  96  -4.73547475e+02  1.36696791e-02  2.83e+02 2.28e+00  2.79e+03  1.34e+03  3.96e+00 1.00e+03 1.34e+03  1.42e-01 2.30e-03   4720s
  97  -4.77746406e+02  1.36696791e-02  2.85e+02 2.28e+00  2.78e+03  1.35e+03  3.97e+00 1.01e+03 1.35e+03  1.40e-01 2.23e-03   4762s
  98  -4.81870268e+02  1.36696791e-02  2.88e+02 2.27e+00  2.78e+03  1.37e+03  3.98e+00 1.02e+03 1.37e+03  1.38e-01 2.16e-03   4824s
  99  -4.85924424e+02  1.36696791e-02  2.90e+02 2.27e+00  2.77e+03  1.38e+03  3.98e+00 1.03e+03 1.38e+03  1.36e-01 2.10e-03   4879s
 100  -4.89906028e+02  1.36696791e-02  2.92e+02 2.26e+00  2.77e+03  1.39e+03  3.99e+00 1.04e+03 1.39e+03  1.34e-01 2.04e-03   4921s
 101  -4.93820273e+02  1.36696791e-02  2.94e+02 2.26e+00  2.76e+03  1.41e+03  3.99e+00 1.05e+03 1.41e+03  1.32e-01 1.98e-03   4963s
 102  -4.67192633e+02  1.54721159e-02  2.79e+02 2.14e+00  2.63e+03 *7.92e-02  4.00e+00 1.06e+03 1.42e+03  5.39e-01 5.39e-02   5004s
 103  -4.71664795e+02  1.54721159e-02  2.81e+02 2.13e+00  2.62e+03  1.32e+03  3.95e+00 1.06e+03 1.32e+03  1.46e-01 2.45e-03   5047s
 104  -4.76052782e+02  1.54721159e-02  2.84e+02 2.13e+00  2.62e+03  1.33e+03  3.95e+00 1.07e+03 1.33e+03  1.44e-01 2.37e-03   5090s
 105  -4.80362427e+02  1.54721159e-02  2.86e+02 2.12e+00  2.61e+03  1.35e+03  3.96e+00 1.08e+03 1.35e+03  1.42e-01 2.30e-03   5131s
 106  -4.84590840e+02  1.54721159e-02  2.88e+02 2.12e+00  2.60e+03  1.36e+03  3.96e+00 1.09e+03 1.36e+03  1.40e-01 2.23e-03   5171s
 107  -4.88747824e+02  1.54721159e-02  2.91e+02 2.11e+00  2.60e+03  1.37e+03  3.97e+00 1.11e+03 1.37e+03  1.38e-01 2.17e-03   5210s
 108  -4.92830452e+02  1.54721159e-02  2.93e+02 2.11e+00  2.59e+03  1.39e+03  3.98e+00 1.12e+03 1.39e+03  1.36e-01 2.10e-03   5252s
 109  -4.96844039e+02  1.54721159e-02  2.95e+02 2.10e+00  2.59e+03  1.40e+03  3.98e+00 1.13e+03 1.40e+03  1.34e-01 2.04e-03   5295s
 110  -5.00789723e+02  1.54721159e-02  2.98e+02 2.10e+00  2.58e+03  1.42e+03  3.99e+00 1.14e+03 1.42e+03  1.32e-01 1.99e-03   5334s
 111  -5.04668628e+02  1.54721159e-02  3.00e+02 2.10e+00  2.58e+03  1.43e+03  4.00e+00 1.15e+03 1.43e+03  1.31e-01 1.93e-03   5375s
 112  -4.78713177e+02  1.70670761e-02  2.84e+02 1.99e+00  2.46e+03 *1.84e-01  4.00e+00 1.16e+03 1.45e+03  5.31e-01 5.14e-02   5416s
 113  -4.83191433e+02  1.70670761e-02  2.87e+02 1.98e+00  2.45e+03  1.34e+03  3.95e+00 1.16e+03 1.34e+03  1.44e-01 2.40e-03   5459s
 114  -4.87519738e+02  1.70670761e-02  2.89e+02 1.98e+00  2.45e+03  1.36e+03  3.95e+00 1.17e+03 1.36e+03  1.41e-01 2.29e-03   5503s
 115  -4.91766452e+02  1.70670761e-02  2.92e+02 1.97e+00  2.45e+03  1.37e+03  3.96e+00 1.18e+03 1.37e+03  1.39e-01 2.22e-03   5546s
 116  -4.95941422e+02  1.70670761e-02  2.94e+02 1.97e+00  2.44e+03  1.39e+03  3.97e+00 1.19e+03 1.39e+03  1.38e-01 2.16e-03   5588s
 117  -5.00041709e+02  1.70670761e-02  2.96e+02 1.97e+00  2.44e+03  1.40e+03  3.97e+00 1.20e+03 1.40e+03  1.36e-01 2.09e-03   5631s
 118  -5.04072650e+02  1.70670761e-02  2.99e+02 1.96e+00  2.43e+03  1.41e+03  3.98e+00 1.22e+03 1.41e+03  1.34e-01 2.04e-03   5674s
 119  -5.08035388e+02  1.70670761e-02  3.01e+02 1.96e+00  2.43e+03  1.43e+03  3.99e+00 1.23e+03 1.43e+03  1.32e-01 1.98e-03   5716s
 120  -5.11927160e+02  1.70670761e-02  3.03e+02 1.95e+00  2.42e+03  1.44e+03  3.99e+00 1.24e+03 1.44e+03  1.30e-01 1.92e-03   5758s
 121  -5.15760717e+02  1.70670761e-02  3.05e+02 1.95e+00  2.42e+03  1.46e+03  4.00e+00 1.25e+03 1.46e+03  1.29e-01 1.87e-03   5801s
 122  -4.90482633e+02  1.84823224e-02  2.90e+02 1.85e+00  2.31e+03 *3.99e-01  4.01e+00 1.26e+03 1.47e+03  5.22e-01 4.90e-02   5858s
 123  -4.94870829e+02  1.84823224e-02  2.93e+02 1.85e+00  2.31e+03  1.37e+03  3.95e+00 1.26e+03 1.37e+03  1.41e-01 2.30e-03   5945s
 124  -4.99129060e+02  1.84823224e-02  2.95e+02 1.85e+00  2.30e+03  1.38e+03  3.96e+00 1.27e+03 1.38e+03  1.39e-01 2.21e-03   6032s
 125  -5.03306960e+02  1.84823224e-02  2.98e+02 1.84e+00  2.30e+03  1.40e+03  3.96e+00 1.29e+03 1.40e+03  1.37e-01 2.14e-03   6121s
 126  -5.07414228e+02  1.84823224e-02  3.00e+02 1.84e+00  2.29e+03  1.41e+03  3.97e+00 1.30e+03 1.41e+03  1.35e-01 2.08e-03   6200s
 127  -5.11452022e+02  1.84823224e-02  3.02e+02 1.83e+00  2.29e+03  1.43e+03  3.98e+00 1.31e+03 1.43e+03  1.33e-01 2.02e-03   6290s
 128  -5.15421489e+02  1.84823224e-02  3.04e+02 1.83e+00  2.28e+03  1.44e+03  3.98e+00 1.32e+03 1.44e+03  1.32e-01 1.96e-03   6376s
 129  -5.19323763e+02  1.84823224e-02  3.07e+02 1.83e+00  2.28e+03  1.46e+03  3.99e+00 1.33e+03 1.46e+03  1.30e-01 1.91e-03   6443s
 130  -5.23159966e+02  1.84823224e-02  3.09e+02 1.82e+00  2.28e+03  1.47e+03  4.00e+00 1.35e+03 1.47e+03  1.28e-01 1.86e-03   6479s
 131  -4.98133557e+02  1.97723398e-02  2.94e+02 1.74e+00  2.18e+03 *2.04e-01  4.00e+00 1.36e+03 1.48e+03  5.17e-01 4.78e-02   6517s
 132  -5.02545566e+02  1.97723398e-02  2.96e+02 1.73e+00  2.17e+03  1.38e+03  3.95e+00 1.36e+03 1.38e+03  1.40e-01 2.29e-03   6560s
 133  -5.06796953e+02  1.97723398e-02  2.99e+02 1.73e+00  2.17e+03  1.40e+03  3.96e+00 1.37e+03 1.40e+03  1.38e-01 2.18e-03   6603s
 134  -5.10976487e+02  1.97723398e-02  3.01e+02 1.73e+00  2.17e+03  1.41e+03  3.96e+00 1.39e+03 1.41e+03  1.36e-01 2.12e-03   6644s
 135  -5.15085341e+02  1.97723398e-02  3.04e+02 1.72e+00  2.16e+03  1.43e+03  3.97e+00 1.40e+03 1.43e+03  1.35e-01 2.06e-03   6687s
 136  -5.19120636e+02  1.97723398e-02  3.06e+02 1.72e+00  2.16e+03  1.44e+03  3.97e+00 1.41e+03 1.44e+03  1.33e-01 2.00e-03   6730s
 137  -5.23087638e+02  1.97723398e-02  3.08e+02 1.72e+00  2.15e+03  1.46e+03  3.98e+00 1.42e+03 1.46e+03  1.31e-01 1.94e-03   6773s
 138  -5.26991388e+02  1.97723398e-02  3.10e+02 1.71e+00  2.15e+03  1.47e+03  3.99e+00 1.44e+03 1.47e+03  1.29e-01 1.89e-03   6817s
 139  -5.30825192e+02  1.97723398e-02  3.12e+02 1.71e+00  2.15e+03  1.48e+03  3.99e+00 1.45e+03 1.48e+03  1.28e-01 1.84e-03   6860s
 140  -5.06057160e+02  2.09494964e-02  2.98e+02 1.63e+00  2.06e+03 *8.02e-02  4.00e+00 1.46e+03 1.50e+03  5.13e-01 4.66e-02   6897s
 141  -5.10403882e+02  2.09494964e-02  3.00e+02 1.63e+00  2.05e+03  1.40e+03  3.95e+00 1.46e+03 1.40e+03  1.39e-01 2.23e-03   6940s
