  51   4.10074363e+02  7.90562832e-02  2.04e+02 3.86e+00  5.02e+03  9.30e+02  3.14e+00 4.76e+02 9.30e+02  2.13e-01 5.60e-03   1441s
  52   4.17889500e+02  7.90562832e-02  2.08e+02 3.84e+00  5.00e+03  9.49e+02  3.12e+00 4.83e+02 9.49e+02  2.08e-01 5.33e-03   1468s
  53   4.25501339e+02  7.90562832e-02  2.12e+02 3.82e+00  4.98e+03  9.67e+02  3.11e+00 4.89e+02 9.67e+02  2.04e-01 5.10e-03   1495s
  54   4.32899541e+02  7.90562832e-02  2.16e+02 3.80e+00  4.96e+03  9.84e+02  3.10e+00 4.96e+02 9.84e+02  2.00e-01 4.87e-03   1522s
  55   4.40111051e+02  7.90562832e-02  2.19e+02 3.78e+00  4.93e+03  1.00e+03  3.08e+00 5.02e+02 1.00e+03  1.96e-01 4.67e-03   1549s
  56   4.47125904e+02  7.90562832e-02  2.23e+02 3.77e+00  4.91e+03  1.02e+03  3.07e+00 5.08e+02 1.02e+03  1.92e-01 4.46e-03   1576s
  57   4.53969467e+02  7.90562832e-02  2.26e+02 3.75e+00  4.90e+03  1.04e+03  3.06e+00 5.14e+02 1.04e+03  1.89e-01 4.28e-03   1603s
  58   4.60645435e+02  7.90562832e-02  2.30e+02 3.73e+00  4.88e+03  1.05e+03  3.05e+00 5.20e+02 1.05e+03  1.85e-01 4.11e-03   1629s
  59   4.67150977e+02  7.90562832e-02  2.33e+02 3.72e+00  4.86e+03  1.07e+03  3.04e+00 5.26e+02 1.07e+03  1.82e-01 3.95e-03   1656s
  60   4.73502796e+02  7.90562832e-02  2.36e+02 3.71e+00  4.84e+03  1.09e+03  3.03e+00 5.32e+02 1.09e+03  1.79e-01 3.80e-03   1684s
  61   4.79704195e+02  7.90562832e-02  2.39e+02 3.69e+00  4.83e+03  1.10e+03  3.02e+00 5.38e+02 1.10e+03  1.75e-01 3.65e-03   1711s
  62   4.85764515e+02  7.90562832e-02  2.43e+02 3.68e+00  4.81e+03  1.12e+03  3.01e+00 5.43e+02 1.12e+03  1.72e-01 3.52e-03   1738s
  63   4.21725470e+02  7.17274315e-02  2.11e+02 3.19e+00  4.23e+03  8.35e-02  3.00e+00 5.49e+02 1.13e+03  7.10e-01 1.32e-01   1764s
  64   4.29835305e+02  7.17274315e-02  2.15e+02 3.18e+00  4.21e+03  9.59e+02  3.11e+00 5.91e+02 9.59e+02  2.11e-01 5.51e-03   1791s
  65   4.37687421e+02  7.17274315e-02  2.19e+02 3.16e+00  4.19e+03  9.78e+02  3.09e+00 5.99e+02 9.78e+02  2.06e-01 5.24e-03   1818s
  66   4.45327354e+02  7.17274315e-02  2.23e+02 3.14e+00  4.17e+03  9.96e+02  3.08e+00 6.07e+02 9.96e+02  2.02e-01 5.00e-03   1846s
  67   4.52767521e+02  7.17274315e-02  2.26e+02 3.13e+00  4.15e+03  1.01e+03  3.07e+00 6.15e+02 1.01e+03  1.98e-01 4.79e-03   1874s
  68   4.60012471e+02  7.17274315e-02  2.30e+02 3.11e+00  4.14e+03  1.03e+03  3.05e+00 6.22e+02 1.03e+03  1.94e-01 4.58e-03   1901s
  69   4.67073805e+02  7.17274315e-02  2.34e+02 3.10e+00  4.12e+03  1.05e+03  3.04e+00 6.30e+02 1.05e+03  1.91e-01 4.39e-03   1928s
  70   4.73955653e+02  7.17274315e-02  2.37e+02 3.09e+00  4.11e+03  1.07e+03  3.03e+00 6.37e+02 1.07e+03  1.87e-01 4.21e-03   1955s
  71   4.80662126e+02  7.17274315e-02  2.41e+02 3.07e+00  4.09e+03  1.08e+03  3.02e+00 6.45e+02 1.08e+03  1.84e-01 4.04e-03   1982s
  72   4.87210400e+02  7.17274315e-02  2.44e+02 3.06e+00  4.08e+03  1.10e+03  3.01e+00 6.52e+02 1.10e+03  1.80e-01 3.89e-03   2010s
  73   4.16477842e+02  6.50358281e-02  2.08e+02 2.62e+00  3.53e+03  1.80e-01  3.00e+00 6.59e+02 1.12e+03  7.28e-01 1.45e-01   2036s
  74   4.25578229e+02  6.50358281e-02  2.13e+02 2.60e+00  3.51e+03  9.28e+02  3.12e+00 7.18e+02 9.28e+02  2.25e-01 6.43e-03   2063s
  75   4.34270276e+02  6.50358281e-02  2.17e+02 2.59e+00  3.49e+03  9.48e+02  3.11e+00 7.29e+02 9.48e+02  2.20e-01 6.01e-03   2090s
  76   4.42713700e+02  6.50358281e-02  2.22e+02 2.57e+00  3.48e+03  9.68e+02  3.09e+00 7.39e+02 9.68e+02  2.15e-01 5.73e-03   2117s
  77   4.50914491e+02  6.50358281e-02  2.26e+02 2.56e+00  3.46e+03  9.87e+02  3.08e+00 7.50e+02 9.87e+02  2.10e-01 5.46e-03   2144s
  78   4.58894603e+02  6.50358281e-02  2.30e+02 2.54e+00  3.44e+03  1.01e+03  3.06e+00 7.60e+02 1.01e+03  2.06e-01 5.21e-03   2171s
  79   4.66659093e+02  6.50358281e-02  2.34e+02 2.53e+00  3.43e+03  1.02e+03  3.05e+00 7.70e+02 1.02e+03  2.02e-01 4.98e-03   2199s
  80   4.74213024e+02  6.50358281e-02  2.38e+02 2.52e+00  3.41e+03  1.04e+03  3.04e+00 7.80e+02 1.04e+03  1.98e-01 4.76e-03   2226s
  81   4.81568803e+02  6.50358281e-02  2.42e+02 2.51e+00  3.40e+03  1.06e+03  3.03e+00 7.89e+02 1.06e+03  1.94e-01 4.56e-03   2253s
  82   4.88738210e+02  6.50358281e-02  2.45e+02 2.50e+00  3.39e+03  1.08e+03  3.01e+00 7.99e+02 1.08e+03  1.90e-01 4.37e-03   2280s
