
--------------- Linear optimization problem characteristics ---------------
Seed:                    34
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        1.37e-02
Norm of vector c:        2.78e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.006 -0.011 -0.001 ... -0.003 +0.009 -0.004]
                          [+0.006 +0.005 -0.004 ... -0.008 -0.006 +0.005]]

RHS vector b:            [+0.014 -0.000]
Obj vector c:            [-0.006 -0.016 -0.006 ... -0.013 +0.011 -0.003]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.001 +0.027 +0.003 ... +0.022 +0.032 +0.028]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+1.793 +0.887]

Optimal objective:       +2.44394790e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.12101829e+01 -9.48853173e-02  2.98e-01 4.41e+01  4.83e+04 *4.44e-16  4.00e+00 1.00e+00 5.94e+00  9.77e-01 9.56e-01     39s
  28  -1.98146963e+02 -9.48853173e-02  1.55e+02 2.81e+01  3.21e+04  7.49e+02  3.86e+00 5.88e+01 7.49e+02  2.08e-01 5.30e-03   1591s
  29  -2.02379337e+02 -9.48853173e-02  1.58e+02 2.79e+01  3.20e+04  7.64e+02  3.87e+00 5.97e+01 7.64e+02  2.04e-01 5.06e-03   1636s
  30  -2.06505203e+02 -9.48853173e-02  1.61e+02 2.78e+01  3.18e+04  7.79e+02  3.88e+00 6.06e+01 7.79e+02  2.00e-01 4.85e-03   1681s
  31  -2.10518913e+02 -9.48853173e-02  1.64e+02 2.76e+01  3.17e+04  7.93e+02  3.89e+00 6.15e+01 7.93e+02  1.96e-01 4.63e-03   1731s
  32  -2.14431106e+02 -9.48853173e-02  1.67e+02 2.75e+01  3.16e+04  8.07e+02  3.90e+00 6.24e+01 8.07e+02  1.92e-01 4.44e-03   1820s
  33  -2.18244138e+02 -9.48853173e-02  1.69e+02 2.74e+01  3.14e+04  8.21e+02  3.91e+00 6.32e+01 8.21e+02  1.88e-01 4.26e-03   1909s
  34  -2.21960341e+02 -9.48853173e-02  1.72e+02 2.73e+01  3.13e+04  8.35e+02  3.92e+00 6.41e+01 8.35e+02  1.85e-01 4.09e-03   1951s
  35  -2.25589275e+02 -9.48853173e-02  1.75e+02 2.72e+01  3.12e+04  8.49e+02  3.93e+00 6.49e+01 8.49e+02  1.82e-01 3.93e-03   1993s
  36  -2.29132843e+02 -9.48853173e-02  1.77e+02 2.71e+01  3.11e+04  8.62e+02  3.94e+00 6.57e+01 8.62e+02  1.78e-01 3.78e-03   2035s
  37  -2.32592928e+02 -9.48853173e-02  1.80e+02 2.70e+01  3.10e+04  8.76e+02  3.95e+00 6.65e+01 8.76e+02  1.75e-01 3.64e-03   2073s
  38  -2.35971394e+02 -9.48853173e-02  1.82e+02 2.69e+01  3.09e+04  8.89e+02  3.96e+00 6.74e+01 8.89e+02  1.72e-01 3.50e-03   2115s
  39  -2.39276689e+02 -9.48853173e-02  1.85e+02 2.68e+01  3.08e+04  9.02e+02  3.97e+00 6.82e+01 9.02e+02  1.69e-01 3.37e-03   2161s
  40  -2.42503845e+02 -9.48853173e-02  1.87e+02 2.67e+01  3.07e+04  9.15e+02  3.98e+00 6.90e+01 9.15e+02  1.67e-01 3.25e-03   2207s
  41  -2.45660967e+02 -9.48853173e-02  1.89e+02 2.66e+01  3.06e+04  9.28e+02  3.99e+00 6.97e+01 9.28e+02  1.64e-01 3.14e-03   2248s
  42  -2.19451768e+02 -7.80917113e-02  1.70e+02 2.38e+01  2.77e+04  3.37e-01  4.01e+00 7.05e+01 9.40e+02  6.67e-01 1.05e-01   2289s
  43  -2.23511641e+02 -7.80917113e-02  1.72e+02 2.37e+01  2.76e+04  8.22e+02  3.90e+00 7.35e+01 8.22e+02  1.93e-01 4.56e-03   2334s
  44  -2.27425563e+02 -7.80917113e-02  1.75e+02 2.36e+01  2.75e+04  8.36e+02  3.91e+00 7.45e+01 8.36e+02  1.90e-01 4.32e-03   2381s
  45  -2.31244261e+02 -7.80917113e-02  1.78e+02 2.35e+01  2.74e+04  8.50e+02  3.92e+00 7.55e+01 8.50e+02  1.86e-01 4.15e-03   2427s
  46  -2.34973594e+02 -7.80917113e-02  1.81e+02 2.34e+01  2.73e+04  8.64e+02  3.93e+00 7.65e+01 8.64e+02  1.83e-01 3.99e-03   2474s
