  43   8.04690143e+01  4.24117241e-02  1.67e+02 3.69e+00  4.76e+03  8.32e+02  3.86e+00 5.65e+02 8.32e+02  2.28e-01 6.58e-03   2304s
  44   8.17499386e+01  4.24117241e-02  1.71e+02 3.66e+00  4.73e+03  8.55e+02  3.87e+00 5.77e+02 8.55e+02  2.23e-01 6.25e-03   2344s
  45   8.29713563e+01  4.24117241e-02  1.75e+02 3.64e+00  4.71e+03  8.77e+02  3.88e+00 5.89e+02 8.77e+02  2.18e-01 5.95e-03   2386s
  46   8.41380416e+01  4.24117241e-02  1.80e+02 3.62e+00  4.69e+03  8.98e+02  3.90e+00 6.01e+02 8.98e+02  2.14e-01 5.67e-03   2437s
  47   8.52510096e+01  4.24117241e-02  1.84e+02 3.60e+00  4.66e+03  9.20e+02  3.91e+00 6.13e+02 9.20e+02  2.09e-01 5.40e-03   2480s
  48   8.63135353e+01  4.24117241e-02  1.87e+02 3.58e+00  4.64e+03  9.41e+02  3.92e+00 6.25e+02 9.41e+02  2.05e-01 5.15e-03   2517s
  49   8.73296894e+01  4.24117241e-02  1.91e+02 3.57e+00  4.62e+03  9.63e+02  3.94e+00 6.37e+02 9.63e+02  2.01e-01 4.93e-03   2560s
  50   8.83002667e+01  4.24117241e-02  1.95e+02 3.55e+00  4.60e+03  9.84e+02  3.95e+00 6.49e+02 9.84e+02  1.97e-01 4.71e-03   2602s
  51   8.92289588e+01  4.24117241e-02  1.99e+02 3.53e+00  4.58e+03  1.00e+03  3.97e+00 6.60e+02 1.00e+03  1.93e-01 4.52e-03   2673s
  52   9.01164613e+01  4.24117241e-02  2.02e+02 3.52e+00  4.56e+03  1.03e+03  3.98e+00 6.72e+02 1.03e+03  1.89e-01 4.33e-03   2721s
  53   9.09652677e+01  4.24117241e-02  2.06e+02 3.50e+00  4.55e+03  1.05e+03  4.00e+00 6.83e+02 1.05e+03  1.86e-01 4.15e-03   2764s
  54   7.06951694e+01  2.96401746e-02  1.58e+02 2.69e+00  3.57e+03  1.85e+00  4.01e+00 6.95e+02 1.07e+03  8.13e-01 2.33e-01   2801s
  55   7.23676603e+01  2.96401746e-02  1.63e+02 2.66e+00  3.54e+03  7.60e+02  3.85e+00 7.52e+02 7.60e+02  2.61e-01 9.10e-03   2844s
  56   7.39281430e+01  2.96401746e-02  1.69e+02 2.64e+00  3.51e+03  7.85e+02  3.86e+00 7.72e+02 7.85e+02  2.55e-01 8.44e-03   2877s
